frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.0,155.01,0.0,0.01,0.159,0.624,0.723,1.910,1,ok
2,18,143,18.0,142.99,0.0,0.01,0.071,0.289,0.724,1.491,1,ok
3,27,138,27.01,138.0,0.01,0.0,0.194,0.321,0.723,1.651,1,ok
4,40,143,40.0,143.0,0.0,0.0,0.192,0.302,0.721,1.628,1,ok
5,55,155,54.99,155.01,0.01,0.01,0.195,0.238,0.723,1.568,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.237,0.385,0.723,1.754,1,ok
7,78,178,78.0,178.01,0.0,0.01,0.402,0.368,0.721,1.903,1,ok
8,91,186,90.99,185.99,0.01,0.01,0.194,0.353,0.721,1.673,1,ok
9,102,186,102.0,185.99,0.0,0.01,0.219,0.092,0.720,1.444,1,ok
10,106,178,106.0,177.99,0.0,0.01,0.161,0.256,0.730,1.551,1,ok
11,106,167,106.01,167.0,0.01,0.0,0.043,0.352,0.722,1.534,1,ok
12,105,155,105.0,155.0,0.0,0.0,0.189,0.288,0.721,1.608,1,ok
13,104,143,103.99,143.01,0.01,0.01,0.227,0.288,0.728,1.659,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.258,0.248,0.729,1.652,1,ok
