frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,48,20.0,48.01,0.0,0.01,0.222,0.497,4.682,5.815,1,SLOW
2,28,48,27.99,48.0,0.01,0.0,0.178,0.080,4.681,5.355,1,SLOW
3,39,53,39.01,53.0,0.01,0.0,0.215,0.208,4.685,5.520,1,SLOW
4,46,59,45.99,59.0,0.01,0.0,0.151,0.304,4.681,5.537,1,SLOW
5,142,66,142.01,66.0,0.01,0.0,0.405,0.256,4.682,5.744,1,SLOW
6,72,86,71.99,85.99,0.01,0.01,0.243,0.241,4.681,5.578,1,SLOW
7,80,92,80.0,92.0,0.0,0.0,0.248,0.320,4.683,5.661,1,SLOW
8,66,134,66.01,134.0,0.01,0.0,0.153,0.384,4.683,5.623,1,SLOW
9,98,95,98.01,94.99,0.01,0.01,0.300,0.192,4.681,5.574,1,SLOW
10,103,90,103.01,90.01,0.01,0.01,0.245,0.242,4.681,5.573,1,SLOW
11,9,68,8.99,68.0,0.01,0.0,0.416,0.335,4.687,5.838,1,SLOW
12,30,1,30.0,0.99,0.0,0.01,0.209,0.432,4.684,5.729,1,SLOW
13,41,8,41.0,8.0,0.0,0.0,0.207,0.275,4.680,5.567,1,SLOW
14,113,54,112.99,53.99,0.01,0.01,0.382,0.367,4.687,5.836,1,SLOW
