frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,125,85,125.01,85.0,0.01,0.0,0.480,0.560,0.724,2.172,1,SLOW
2,36,94,35.99,94.01,0.01,0.01,0.321,0.160,0.721,1.609,1,ok
3,49,109,49.0,109.0,0.0,0.0,0.199,0.192,0.725,1.530,1,ok
4,151,136,151.0,135.99,0.0,0.01,0.459,0.336,0.729,1.934,1,ok
5,173,91,172.99,91.0,0.01,0.0,0.264,0.319,0.722,1.713,1,ok
6,165,77,165.0,77.0,0.0,0.0,0.317,0.425,0.720,1.866,1,ok
7,156,60,156.0,60.0,0.0,0.0,0.402,0.480,0.722,2.005,1,SLOW
8,91,12,90.99,12.0,0.01,0.0,0.228,0.208,0.722,1.564,1,ok
9,128,20,128.0,20.01,0.0,0.01,0.309,0.194,0.723,1.635,1,ok
10,38,23,38.0,23.01,0.0,0.01,0.353,0.288,0.727,1.782,1,ok
11,39,11,39.0,11.0,0.0,0.0,0.056,0.256,0.723,1.436,1,ok
12,20,56,20.0,55.99,0.0,0.01,0.138,0.353,0.722,1.625,1,ok
13,26,70,26.01,70.0,0.01,0.0,0.159,0.281,0.723,1.567,1,ok
14,131,109,131.01,109.0,0.01,0.0,0.446,0.385,0.727,1.971,1,ok
