frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,72,35.01,72.01,0.01,0.01,0.273,0.430,0.490,1.601,1,ok
2,38,84,38.01,84.01,0.01,0.01,0.079,0.320,0.490,1.305,1,ok
3,133,85,133.01,85.0,0.01,0.0,0.404,0.196,0.490,1.498,1,ok
4,127,73,127.01,73.0,0.01,0.0,0.202,0.335,0.498,1.443,1,ok
5,4,87,4.0,86.99,0.0,0.01,0.388,0.240,0.492,1.524,1,ok
6,67,20,67.0,20.01,0.0,0.01,0.303,0.512,0.497,1.716,1,ok
7,164,60,164.0,59.99,0.0,0.01,0.505,0.480,0.490,1.885,1,ok
8,96,11,95.99,11.0,0.01,0.0,0.457,0.355,0.490,1.717,1,ok
9,103,23,103.0,23.0,0.0,0.0,0.260,0.543,0.492,1.706,1,ok
10,107,34,107.0,34.0,0.0,0.0,0.215,0.371,0.491,1.493,1,ok
11,180,82,179.99,81.99,0.01,0.01,0.416,0.315,0.491,1.636,1,ok
12,14,96,13.99,96.0,0.01,0.0,0.459,0.320,0.492,1.673,1,ok
13,35,71,35.0,71.01,0.0,0.01,0.144,0.175,0.491,1.223,1,ok
14,137,96,136.99,96.0,0.01,0.0,0.504,0.304,0.495,1.708,1,ok
