frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,16,100,15.99,100.01,0.01,0.01,0.170,0.489,0.496,1.564,1,ok
2,39,78,39.0,77.99,0.0,0.01,0.247,0.323,0.498,1.475,1,ok
3,51,100,51.0,100.0,0.0,0.0,0.167,0.214,0.493,1.278,1,ok
4,135,81,135.0,81.0,0.0,0.0,0.479,0.387,0.495,1.772,1,ok
5,35,60,34.99,59.99,0.01,0.01,0.289,0.494,0.493,1.690,1,ok
6,31,47,30.99,47.0,0.01,0.0,0.142,0.327,0.494,1.376,1,ok
7,139,11,139.01,11.0,0.01,0.0,0.316,0.358,0.494,1.580,1,ok
8,123,18,123.01,18.0,0.01,0.0,0.403,0.317,0.494,1.627,1,ok
9,160,42,159.99,42.0,0.01,0.0,0.335,0.355,0.493,1.586,1,ok
10,69,35,68.99,34.99,0.01,0.01,0.302,0.353,0.495,1.565,1,ok
11,61,22,60.99,21.99,0.01,0.01,0.138,0.245,0.495,1.294,1,ok
12,54,7,54.01,7.0,0.01,0.0,0.249,0.259,0.496,1.408,1,ok
13,14,100,13.99,99.99,0.01,0.01,0.235,0.485,0.497,1.617,1,ok
14,37,74,37.01,73.99,0.01,0.01,0.204,0.246,0.497,1.352,1,ok
