frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.01,79.0,0.01,0.0,0.202,0.417,10.975,12.004,2,SLOW,RETRY2
2,38,90,37.99,90.0,0.01,0.0,0.128,0.224,0.488,1.257,1,ok
3,51,94,50.99,93.99,0.01,0.01,0.282,0.285,0.497,1.470,1,ok
4,60,90,60.0,90.0,0.0,0.0,0.209,0.272,0.494,1.383,1,ok
5,60,78,60.0,77.99,0.0,0.01,0.042,0.128,0.489,1.073,1,ok
6,65,73,65.0,73.01,0.0,0.01,0.286,0.298,0.491,1.477,1,ok
7,150,55,149.99,55.0,0.01,0.0,0.449,0.161,0.488,1.506,1,ok
8,90,3,89.99,3.0,0.01,0.0,0.287,0.418,0.495,1.615,1,ok
9,161,40,161.0,40.0,0.0,0.0,0.396,0.451,0.492,1.744,1,ok
10,90,60,90.0,60.0,0.0,0.0,0.322,0.298,0.489,1.522,1,ok
11,4,55,4.01,55.0,0.01,0.0,0.376,0.116,0.490,1.387,1,ok
12,112,80,112.01,80.01,0.01,0.01,0.412,0.353,0.490,1.666,1,ok
13,25,75,25.0,75.0,0.0,0.0,0.296,0.256,0.497,1.460,1,ok
14,36,86,36.0,85.99,0.0,0.01,0.141,0.513,0.491,1.559,1,ok
