frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,72,34.99,72.01,0.01,0.01,0.315,0.337,0.499,1.560,1,ok
2,38,84,37.99,84.0,0.01,0.0,0.226,0.383,0.492,1.509,1,ok
3,133,85,133.01,85.0,0.01,0.0,0.376,0.224,0.492,1.505,1,ok
4,127,73,127.0,73.0,0.0,0.0,0.244,0.416,0.492,1.569,1,ok
5,4,87,4.01,86.99,0.01,0.01,0.371,0.351,0.489,1.625,1,ok
6,67,20,67.0,20.0,0.0,0.0,0.521,0.387,0.499,1.819,1,ok
7,164,60,164.0,59.99,0.0,0.01,0.348,0.256,0.508,1.527,1,ok
8,96,11,96.0,10.99,0.0,0.01,0.340,0.303,0.496,1.551,1,ok
9,103,23,103.0,23.0,0.0,0.0,0.276,0.368,0.496,1.553,1,ok
10,107,34,107.0,33.99,0.0,0.01,0.198,0.346,0.492,1.440,1,ok
11,180,82,180.0,82.0,0.0,0.0,0.334,0.272,0.491,1.500,1,ok
12,14,96,14.01,96.01,0.01,0.01,0.420,0.302,0.494,1.621,1,ok
13,35,71,35.0,71.01,0.0,0.01,0.298,0.320,0.491,1.521,1,ok
14,137,96,136.99,95.99,0.01,0.01,0.456,0.432,0.490,1.793,1,ok
