frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,29,91,29.0,91.0,0.0,0.0,0.170,0.462,0.499,1.547,1,ok
2,31,85,31.0,85.01,0.0,0.01,0.127,0.401,0.496,1.439,1,ok
3,32,63,32.0,63.01,0.0,0.01,0.109,0.360,0.493,1.371,1,ok
4,30,54,30.01,53.99,0.01,0.01,0.144,0.470,0.490,1.509,1,ok
5,36,46,35.99,46.01,0.01,0.01,0.236,0.402,0.503,1.555,1,ok
6,48,44,48.0,44.0,0.0,0.0,0.159,0.456,0.495,1.515,1,ok
7,59,50,59.0,50.0,0.0,0.0,0.126,0.261,0.494,1.286,1,ok
8,85,9,85.0,8.99,0.0,0.01,0.285,0.370,0.490,1.559,1,ok
9,79,17,79.0,16.99,0.0,0.01,0.191,0.178,0.500,1.276,1,ok
10,140,1,139.99,1.01,0.01,0.01,0.335,0.471,0.494,1.712,1,ok
11,97,100,96.99,99.99,0.01,0.01,0.353,0.445,0.497,1.709,1,ok
12,22,95,22.0,94.99,0.0,0.01,0.279,0.373,0.498,1.563,1,ok
13,30,72,29.99,72.0,0.01,0.0,0.186,0.291,0.492,1.373,1,ok
14,31,85,31.01,84.99,0.01,0.01,0.137,0.305,0.495,1.344,1,ok
