frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.0,79.0,0.0,0.0,0.245,0.480,0.492,1.631,1,ok
2,38,90,37.99,89.99,0.01,0.01,0.174,0.288,0.493,1.368,1,ok
3,51,94,51.0,94.0,0.0,0.0,0.177,0.293,0.497,1.372,1,ok
4,60,90,59.99,90.01,0.01,0.01,0.273,0.262,0.491,1.444,1,ok
5,60,78,59.99,77.99,0.01,0.01,0.045,0.211,0.496,1.160,1,ok
6,65,73,65.0,72.99,0.0,0.01,0.160,0.326,0.493,1.389,1,ok
7,150,55,150.01,55.0,0.01,0.0,0.410,0.156,0.495,1.472,1,ok
8,90,3,90.0,3.0,0.0,0.0,0.242,0.354,0.492,1.497,1,ok
9,161,40,161.01,40.01,0.01,0.01,0.549,0.504,0.494,1.949,1,ok
10,90,60,89.99,60.01,0.01,0.01,0.345,0.382,0.494,1.622,1,ok
11,4,55,4.01,54.99,0.01,0.01,0.438,0.302,0.493,1.637,1,ok
12,112,80,112.0,80.01,0.0,0.01,0.535,0.180,0.494,1.613,1,ok
13,25,75,24.99,75.01,0.01,0.01,0.303,0.321,0.498,1.531,1,ok
14,36,86,36.01,86.0,0.01,0.0,0.179,0.294,0.499,1.378,1,ok
